FID,Latitude,Longitude,NAME,SUBSET,FEAT_TYPE,WATER,STATUS,Timemin
106,48.0112513,-122.517971, , , , , ,136.0
107,48.0112513,-122.507971, , , , , ,135.0
108,48.0112513,-122.49797099999999, , , , , ,137.0
109,48.0112513,-122.487971, , , , , ,136.0
110,48.0112513,-122.477971, , , , , ,137.0
111,48.0112513,-122.46797099999999, , , , , ,139.0
112,48.0112513,-122.457971, , , , , ,139.0
113,48.0112513,-122.447971, , , , , ,144.0
114,48.0112513,-122.43797099999999, , , , , ,142.0
115,48.0112513,-122.427971, , , , , ,141.0
116,48.0112513,-122.417971, , , , , ,143.0
117,48.0112513,-122.40797099999999, , , , , ,143.0
118,48.0112513,-122.397971, , , , , ,144.0
119,48.0112513,-122.387971, , , , , ,148.0
120,48.0112513,-122.377971, , , , , ,146.0
121,48.0112513,-122.317971, , , , , ,0.0
122,48.0112513,-122.207971, , , , , ,34.0
123,48.0112513,-122.197971, , , , , ,35.0
124,48.0112513,-122.18797099999999, , , , , ,33.0
125,48.0112513,-122.177971, , , , , ,37.0
126,48.0112513,-122.167971, , , , , ,39.0
127,48.0112513,-122.15797099999999, , , , , ,43.0
128,48.0112513,-122.147971, , , , , ,38.0
129,48.0112513,-122.137971, , , , , ,38.0
130,48.0112513,-122.127971, , , , , ,40.0
131,48.0112513,-122.117971, , , , , ,37.0
132,48.0112513,-122.10797099999999, , , , , ,36.0
133,48.0112513,-122.07797099999999, , , , , ,41.0
134,48.0112513,-122.067971, , , , , ,41.0
135,48.0112513,-122.057971, , , , , ,43.0
136,48.0112513,-122.04797099999999, , , , , ,44.0
137,48.0112513,-122.037971, , , , , ,46.0
138,48.0112513,-122.027971, , , , , ,50.0
139,48.0112513,-122.017971, , , , , ,49.0
140,48.0112513,-122.007971, , , , , ,48.0
141,48.0112513,-121.99797099999999, , , , , ,51.0
142,48.0112513,-121.987971, , , , , ,52.0
143,48.0112513,-121.977971, , , , , ,58.0
